brand,year,km_driven,fuel,transmission,owner,selling_price
Maruti,2024,118721,Diesel,Automatic,Third,467712.0
Maruti,2009,11469,Petrol,Manual,Second,77499.0
Volkswagen,2012,119979,Diesel,Automatic,Second,211064.0
Hyundai,2023,46043,Diesel,Manual,First,505578.0
Maruti,2017,97856,Petrol,Automatic,Second,273266.0
Mahindra,2013,154236,Diesel,Manual,First,241778.0
Honda,2011,25046,Diesel,Manual,First,284343.0
Tata,2013,130586,CNG,Manual,First,220242.0
Mahindra,2021,25885,CNG,Manual,First,471470.0
Honda,2014,165177,Petrol,Manual,First,293697.0
Maruti,2014,102091,Petrol,Manual,First,251998.0
Kia,2022,172861,Petrol,Manual,Second,367987.0
Toyota,2020,103082,CNG,Manual,Second,469483.0
Maruti,2017,119351,Petrol,Manual,First,413199.0
Mahindra,2010,15609,Diesel,Automatic,First,264883.0
Mahindra,2023,179072,Diesel,Automatic,Second,440928.0
Mahindra,2018,34959,Petrol,Manual,Third,306806.0
Hyundai,2023,80770,CNG,Manual,First,414941.0
Maruti,2005,105124,Petrol,Manual,First,37783.0
Ford,2022,24530,Petrol,Manual,First,479700.0
Toyota,2012,90839,Petrol,Manual,First,262704.0
Hyundai,2008,5215,Petrol,Manual,First,148048.0
Renault,2015,86765,Petrol,Manual,First,214853.0
Toyota,2022,124570,Petrol,Automatic,First,506954.0
Volkswagen,2009,156194,Petrol,Manual,First,135753.0
Kia,2006,6620,Petrol,Manual,Second,131943.0
Mahindra,2008,20550,Diesel,Automatic,First,226003.0
Tata,2015,113345,Diesel,Automatic,First,306255.0
Tata,2008,102463,Diesel,Automatic,First,119982.0
Mahindra,2007,60719,Diesel,Manual,First,164470.0
Maruti,2020,149073,Petrol,Manual,First,372830.0
Renault,2018,131907,Diesel,Manual,Second,347062.0
Hyundai,2019,46349,Petrol,Manual,First,413282.0
Honda,2007,178560,Petrol,Automatic,First,119261.0
Renault,2005,105221,Diesel,Manual,Second,35000.0
Tata,2019,13840,Petrol,Manual,Second,357277.0
Mahindra,2016,14084,Petrol,Automatic,First,337917.0
Mahindra,2008,101869,Diesel,Automatic,First,162774.0
Kia,2012,130582,Petrol,Manual,First,225987.0
Tata,2012,96040,Petrol,Automatic,First,238811.0
Hyundai,2013,87039,CNG,Manual,First,213475.0
Renault,2011,87215,Diesel,Manual,First,233588.0
Volkswagen,2019,119235,Diesel,Manual,First,384552.0
Renault,2018,156475,Petrol,Manual,Second,260170.0
Kia,2020,41810,Petrol,Manual,Second,426208.0
Toyota,2017,60848,Diesel,Manual,First,435865.0
Tata,2017,93248,Petrol,Manual,First,333650.0
Toyota,2011,33502,Petrol,Automatic,First,260799.0
Volkswagen,2018,87753,Diesel,Manual,First,336943.0
Maruti,2014,96352,Petrol,Manual,First,290517.0
Ford,2014,47830,Petrol,Manual,First,252961.0
Toyota,2011,138840,CNG,Automatic,Third,141552.0
Maruti,2022,108005,Petrol,Manual,First,365879.0
Volkswagen,2021,153014,Petrol,Manual,First,404124.0
Renault,2017,23666,Diesel,Automatic,First,319679.0
Hyundai,2021,75849,Diesel,Manual,Third,446839.0
Renault,2020,45759,Petrol,Manual,Second,329046.0
Maruti,2018,77374,Petrol,Manual,Second,372511.0
Mahindra,2013,98601,Petrol,Manual,First,220102.0
Maruti,2006,160398,Petrol,Manual,First,67155.0
Tata,2020,149455,Petrol,Manual,Third,332960.0
Hyundai,2021,171810,Diesel,Manual,First,471931.0
Hyundai,2008,71523,CNG,Manual,First,181123.0
Mahindra,2024,75078,Petrol,Automatic,Second,367281.0
Tata,2015,69903,Petrol,Automatic,First,285707.0
Maruti,2023,64920,Diesel,Automatic,Second,540816.0
Kia,2020,41861,Petrol,Manual,First,418839.0
Renault,2010,54156,Petrol,Manual,First,153954.0
Toyota,2006,91929,CNG,Manual,Second,148246.0
Ford,2011,120491,Petrol,Automatic,First,191475.0
Ford,2016,20871,Diesel,Manual,First,348908.0
Honda,2019,136183,Petrol,Manual,First,454196.0
Toyota,2024,130038,Diesel,Manual,First,621227.0
Volkswagen,2016,94063,Petrol,Manual,First,299393.0
Tata,2023,86264,Petrol,Manual,Second,421276.0
Toyota,2019,121009,Petrol,Manual,Second,354349.0
Honda,2005,136468,Diesel,Manual,First,74541.0
Honda,2010,54616,CNG,Manual,First,138745.0
Kia,2018,139591,Diesel,Manual,Second,398925.0
Mahindra,2019,175822,Diesel,Manual,First,389688.0
Ford,2012,173428,Petrol,Automatic,Second,112085.0
Volkswagen,2022,100295,Diesel,Manual,First,457087.0
Kia,2014,172029,Diesel,Automatic,Second,266808.0
Hyundai,2009,138453,Petrol,Manual,Second,111086.0
Honda,2014,58441,Diesel,Manual,First,311322.0
Mahindra,2010,155599,Petrol,Manual,Second,165788.0
Hyundai,2008,46041,Diesel,Manual,First,111519.0
Kia,2010,38703,Petrol,Manual,Third,182851.0
Maruti,2008,115715,Petrol,Automatic,First,136835.0
Tata,2009,121104,Diesel,Manual,First,131384.0
Mahindra,2007,47639,Diesel,Manual,Third,90676.0
Ford,2007,21659,CNG,Manual,First,122563.0
Maruti,2019,41746,Diesel,Manual,Second,330188.0
Kia,2023,148715,Petrol,Automatic,Second,437082.0
Renault,2013,43842,Petrol,Automatic,First,238326.0
Honda,2011,98422,Petrol,Manual,First,214251.0
Maruti,2006,22295,Diesel,Automatic,First,126329.0
Honda,2006,155640,Petrol,Automatic,First,96422.0
Volkswagen,2021,100479,Petrol,Automatic,First,449980.0
Toyota,2019,86318,Petrol,Manual,Second,447532.0
Maruti,2012,137952,Petrol,Manual,Second,165297.0
Renault,2018,178317,Diesel,Manual,First,329985.0
Kia,2007,171770,Diesel,Manual,First,120319.0
Honda,2023,55589,Diesel,Manual,Second,562272.0
Maruti,2019,86224,Petrol,Manual,First,384318.0
Honda,2010,78264,Diesel,Manual,First,237773.0
Mahindra,2020,28148,Petrol,Manual,Second,418143.0
Maruti,2012,5186,Diesel,Manual,First,261406.0
Tata,2009,21634,Petrol,Automatic,First,249760.0
Tata,2014,107509,Diesel,Manual,First,230308.0
Tata,2008,23313,Petrol,Manual,Second,70942.0
Honda,2011,68132,Petrol,Manual,First,215080.0
Renault,2006,145196,CNG,Manual,First,35000.0
Tata,2014,113424,Diesel,Automatic,Second,262089.0
Kia,2007,30066,Petrol,Manual,First,138196.0
Kia,2006,105950,Petrol,Automatic,First,131124.0
Toyota,2021,145926,Diesel,Manual,First,538940.0
Volkswagen,2024,23074,Diesel,Manual,First,585187.0
Ford,2022,145118,CNG,Automatic,First,384984.0
Kia,2010,83933,Petrol,Manual,First,191144.0
Toyota,2016,174791,Petrol,Manual,First,403044.0
Renault,2024,73091,Diesel,Automatic,First,496349.0
Kia,2009,174865,Diesel,Manual,First,230770.0
Hyundai,2021,73684,Diesel,Manual,First,527124.0
Mahindra,2023,164850,Petrol,Automatic,Second,371754.0
Tata,2009,86507,Diesel,Manual,Second,188441.0
Mahindra,2005,153906,Petrol,Manual,Second,35000.0
Honda,2009,98885,CNG,Automatic,First,158570.0
Renault,2024,173377,Petrol,Manual,Second,436904.0
Ford,2009,103768,Diesel,Manual,First,130631.0
Hyundai,2024,27534,Diesel,Automatic,First,594980.0
Maruti,2019,158008,Petrol,Manual,Second,293820.0
Ford,2005,114661,Petrol,Manual,First,57170.0
Kia,2024,96393,Petrol,Manual,First,507537.0
Kia,2009,94609,Petrol,Automatic,Third,125124.0
Kia,2016,119042,Diesel,Manual,First,381271.0
Mahindra,2022,40781,CNG,Automatic,First,477320.0
Mahindra,2015,57808,Petrol,Automatic,Second,296843.0
Renault,2023,5828,Petrol,Manual,Second,425773.0
Volkswagen,2019,74515,Petrol,Automatic,First,396866.0
Honda,2013,94869,CNG,Manual,Second,260228.0
Hyundai,2015,150253,Diesel,Automatic,First,332678.0
Mahindra,2024,57535,Petrol,Automatic,Third,493500.0
Tata,2020,89514,Petrol,Manual,First,450062.0
Maruti,2014,131673,Diesel,Manual,Third,230573.0
Toyota,2006,11155,Petrol,Automatic,First,192043.0
Kia,2008,121247,CNG,Manual,First,146059.0
Hyundai,2023,16082,Diesel,Automatic,First,554546.0
Honda,2008,144366,Diesel,Manual,Second,154936.0
Hyundai,2007,65882,Petrol,Manual,Third,35000.0
Volkswagen,2006,61977,Petrol,Manual,First,90513.0
Hyundai,2008,122749,Petrol,Automatic,First,131238.0
Hyundai,2013,138528,Petrol,Manual,First,234750.0
Honda,2023,81416,Petrol,Manual,First,528568.0
Mahindra,2024,133438,Petrol,Manual,First,584702.0
Tata,2005,87075,Petrol,Manual,Second,35000.0
Volkswagen,2022,135831,Petrol,Manual,Second,402710.0
Tata,2011,65842,Diesel,Automatic,First,252020.0
Renault,2018,115091,Petrol,Automatic,First,298221.0
Toyota,2016,135410,Petrol,Manual,Second,328992.0
Honda,2007,133177,Petrol,Automatic,First,193088.0
Toyota,2012,55982,Diesel,Automatic,Second,274754.0
Toyota,2015,136473,Petrol,Manual,First,334758.0
Volkswagen,2012,27273,Diesel,Manual,First,270571.0
Volkswagen,2016,106776,Diesel,Manual,Second,262971.0
Hyundai,2011,68141,Petrol,Manual,First,210685.0
Toyota,2008,35570,Petrol,Manual,First,251964.0
Kia,2022,69622,Diesel,Automatic,First,532690.0
Renault,2009,9141,CNG,Manual,Second,96481.0
Toyota,2015,143504,Petrol,Manual,First,375684.0
Tata,2014,91088,Diesel,Manual,Second,307158.0
Hyundai,2019,44406,Diesel,Automatic,Second,395659.0
Toyota,2020,33057,Petrol,Manual,First,501139.0
Kia,2013,65312,Petrol,Manual,First,265748.0
Kia,2016,115142,Petrol,Automatic,Second,294653.0
Honda,2019,35705,Petrol,Automatic,First,423994.0
Renault,2021,179863,Petrol,Manual,Third,292116.0
Kia,2005,80242,Petrol,Automatic,Second,66870.0
Renault,2013,134128,Petrol,Manual,First,126582.0
Honda,2022,11762,Petrol,Automatic,First,528058.0
Volkswagen,2009,64216,Petrol,Manual,First,139507.0
Volkswagen,2013,88897,Diesel,Manual,Third,184392.0
Tata,2022,119205,CNG,Manual,Second,397932.0
Tata,2024,22112,Petrol,Manual,First,541707.0
Volkswagen,2014,38641,CNG,Automatic,First,292802.0
Honda,2007,49577,CNG,Manual,First,79941.0
Toyota,2007,115605,Petrol,Manual,Second,152671.0
Toyota,2008,41913,Diesel,Automatic,First,269715.0
Renault,2023,155195,Petrol,Manual,Second,391741.0
Hyundai,2007,141646,Diesel,Manual,Second,60541.0
Volkswagen,2023,177293,Diesel,Automatic,First,515960.0
Toyota,2024,46709,Petrol,Manual,First,576758.0
Kia,2015,173176,Petrol,Automatic,Second,269308.0
Toyota,2020,37992,CNG,Automatic,Second,564386.0
Toyota,2020,73648,Diesel,Manual,Third,397065.0
Ford,2016,77165,Petrol,Automatic,First,261375.0
Renault,2022,89009,Petrol,Automatic,First,487116.0
Kia,2010,120234,Petrol,Manual,Second,137702.0
Tata,2021,110950,Petrol,Manual,Second,387174.0
Tata,2021,74376,Petrol,Automatic,First,404831.0
Volkswagen,2023,44075,Diesel,Manual,First,501594.0
Volkswagen,2020,47997,Petrol,Automatic,Second,402591.0
Volkswagen,2009,70025,Petrol,Manual,First,162685.0
Maruti,2011,40268,Diesel,Manual,First,227153.0
Kia,2022,51044,CNG,Automatic,First,550886.0
Hyundai,2010,42060,Petrol,Manual,Third,140998.0
Hyundai,2006,10268,Diesel,Manual,Second,87028.0
Toyota,2013,159380,Petrol,Manual,First,333010.0
Tata,2017,34375,Petrol,Automatic,First,356398.0
Volkswagen,2020,48111,Petrol,Manual,Second,359410.0
Volkswagen,2021,159270,Petrol,Manual,Second,346370.0
Kia,2007,56628,Petrol,Manual,Second,184247.0
Ford,2016,32146,Petrol,Manual,Second,246660.0
Volkswagen,2017,17962,Petrol,Manual,First,330131.0
Volkswagen,2013,150688,Petrol,Automatic,First,244300.0
Mahindra,2024,87697,Diesel,Automatic,First,563310.0
Ford,2014,117357,Diesel,Manual,First,173173.0
Toyota,2015,166294,Petrol,Automatic,First,375340.0
Honda,2014,79546,Petrol,Manual,First,290019.0
Volkswagen,2015,133356,Diesel,Manual,Third,186821.0
Ford,2005,75298,Petrol,Manual,First,39137.0
Honda,2008,45368,Petrol,Automatic,Second,72134.0
Honda,2023,146225,Petrol,Manual,First,479034.0
Maruti,2020,178866,Petrol,Manual,Second,364686.0
Honda,2024,61426,Petrol,Automatic,First,594462.0
Tata,2009,177483,CNG,Automatic,First,93099.0
Mahindra,2024,116457,Diesel,Manual,Second,474679.0
Renault,2018,136105,Petrol,Manual,First,271038.0
Tata,2011,177444,Petrol,Automatic,First,166759.0
Hyundai,2024,60363,Diesel,Manual,First,563313.0
Mahindra,2008,166547,Petrol,Automatic,First,77811.0
Ford,2009,82820,Petrol,Automatic,Second,108001.0
Hyundai,2013,100927,CNG,Manual,First,280221.0
Hyundai,2021,120497,Diesel,Automatic,First,498985.0
Tata,2019,166167,Petrol,Manual,First,407600.0
Toyota,2014,129496,Petrol,Manual,First,341549.0
Renault,2005,96358,Diesel,Manual,First,35000.0
Hyundai,2018,47974,Petrol,Manual,First,370899.0
Renault,2005,29446,CNG,Manual,Third,35000.0
Mahindra,2011,166868,Petrol,Automatic,Third,118843.0
Kia,2024,45709,Diesel,Manual,Second,578034.0
Tata,2023,112578,Diesel,Manual,Second,407694.0
Volkswagen,2013,128004,Diesel,Manual,First,209305.0
Hyundai,2023,174655,Petrol,Manual,First,451985.0
Kia,2019,108795,Diesel,Manual,Second,395020.0
Volkswagen,2008,154051,Diesel,Automatic,First,97727.0
Kia,2009,117701,Petrol,Manual,Second,101517.0
Tata,2011,17467,Diesel,Manual,First,210522.0
Mahindra,2014,132972,Diesel,Manual,Third,178426.0
Toyota,2008,25282,Petrol,Manual,First,198206.0
Maruti,2022,28222,Petrol,Manual,First,506848.0
Honda,2015,96328,Petrol,Manual,First,346120.0
Hyundai,2010,137951,Petrol,Manual,First,171828.0
Maruti,2020,146802,Petrol,Manual,First,399967.0
Toyota,2012,137387,Petrol,Manual,Second,258122.0
Kia,2011,8897,Diesel,Manual,Second,232949.0
Kia,2017,52165,CNG,Manual,First,406498.0
Volkswagen,2015,30680,CNG,Manual,First,351790.0
Toyota,2011,94678,Petrol,Automatic,First,291346.0
Kia,2019,170447,Petrol,Manual,First,418138.0
Mahindra,2010,132808,CNG,Manual,First,120830.0
Hyundai,2008,83444,Diesel,Manual,First,201087.0
Hyundai,2010,44683,Petrol,Manual,First,221491.0
Tata,2019,124006,Diesel,Manual,First,414419.0
Volkswagen,2008,58106,Petrol,Manual,Second,111522.0
Maruti,2010,42420,Petrol,Manual,First,226989.0
Honda,2023,171694,Diesel,Manual,Second,444808.0
Hyundai,2009,111143,Diesel,Automatic,First,197984.0
Mahindra,2019,24558,Petrol,Manual,First,417010.0
Ford,2006,167341,Petrol,Manual,First,35000.0
Maruti,2010,149291,Petrol,Manual,First,154108.0
Toyota,2024,64326,Petrol,Manual,First,600961.0
Kia,2011,109911,CNG,Manual,First,206801.0
Maruti,2005,140439,Diesel,Automatic,First,76370.0
Renault,2020,129997,Petrol,Automatic,First,445423.0
Maruti,2013,139765,Diesel,Manual,Second,184353.0
Ford,2006,145498,Diesel,Manual,First,71107.0
Ford,2022,12430,Petrol,Manual,First,466217.0
Honda,2013,37394,Diesel,Manual,First,311582.0
Tata,2006,78105,Petrol,Manual,First,55674.0
Tata,2010,101463,Diesel,Manual,Third,74300.0
Mahindra,2014,174328,Petrol,Manual,First,261383.0
Mahindra,2021,58082,Petrol,Automatic,First,487212.0
Honda,2012,131182,Diesel,Automatic,First,278479.0
Honda,2006,56604,Diesel,Manual,Third,48737.0
Honda,2010,37545,Diesel,Manual,First,219732.0
Hyundai,2011,129754,CNG,Manual,Second,169648.0
Kia,2020,166412,Petrol,Automatic,Third,328182.0
Toyota,2006,62087,Petrol,Manual,First,175859.0
Tata,2022,49328,Petrol,Manual,Second,496455.0
Ford,2019,107974,Petrol,Automatic,Second,335055.0
Renault,2014,28882,Petrol,Manual,First,229170.0
Toyota,2011,87052,Petrol,Manual,First,269833.0
Toyota,2011,114716,Petrol,Manual,Second,225469.0
Mahindra,2012,55723,CNG,Manual,Second,210487.0
Volkswagen,2012,15275,Diesel,Automatic,First,343353.0
Mahindra,2013,82650,Petrol,Automatic,First,250828.0
Mahindra,2021,157138,Diesel,Automatic,Second,378228.0
Maruti,2017,12851,Diesel,Manual,Second,348593.0
Maruti,2014,78538,Petrol,Manual,First,234330.0
Renault,2008,91594,Diesel,Manual,First,160718.0
Mahindra,2008,128932,Petrol,Manual,First,65366.0
Maruti,2017,112932,Petrol,Automatic,Third,251904.0
Honda,2009,87537,Petrol,Manual,First,186622.0
Mahindra,2014,56236,Diesel,Automatic,First,330842.0
Volkswagen,2005,36623,Petrol,Manual,Second,35000.0
Kia,2012,112706,Petrol,Manual,First,283728.0
Toyota,2010,50977,Petrol,Manual,First,194242.0
Mahindra,2024,150625,Petrol,Automatic,First,531850.0
Honda,2006,125708,Petrol,Manual,First,109407.0
Maruti,2022,127061,Diesel,Manual,Second,454811.0
Volkswagen,2024,155945,Petrol,Manual,First,454947.0
Honda,2021,133622,Petrol,Manual,Second,473979.0
Renault,2005,92615,Petrol,Automatic,First,91271.0
Renault,2024,22194,Diesel,Manual,First,538072.0
Toyota,2006,69151,Petrol,Manual,First,162282.0
Toyota,2015,156353,Petrol,Automatic,First,373899.0
Kia,2014,126425,Petrol,Manual,First,278340.0
Volkswagen,2021,56710,CNG,Manual,Second,430391.0
Toyota,2021,108623,Petrol,Manual,First,475298.0
Honda,2020,174950,Petrol,Manual,First,436820.0
Ford,2009,143647,Diesel,Automatic,First,153286.0
Honda,2020,135587,Petrol,Automatic,Second,364681.0
Hyundai,2014,77959,Petrol,Manual,First,267481.0
Maruti,2015,28972,CNG,Manual,First,306712.0
Hyundai,2021,21963,Diesel,Manual,Second,443464.0
Volkswagen,2023,50867,Diesel,Manual,First,497627.0
Hyundai,2023,127022,Diesel,Manual,First,499778.0
Kia,2024,71507,Petrol,Manual,First,522057.0
Maruti,2021,105024,Petrol,Manual,First,414780.0
Volkswagen,2005,113750,Diesel,Automatic,Second,56759.0
Volkswagen,2005,111084,Petrol,Manual,Second,35000.0
Maruti,2007,62925,Diesel,Manual,Second,121713.0
Kia,2012,108854,Petrol,Manual,Second,143025.0
Mahindra,2016,69742,Petrol,Manual,First,371365.0
Kia,2008,70342,Petrol,Manual,First,205456.0
Renault,2023,11489,Petrol,Automatic,Second,421915.0
Hyundai,2008,75374,CNG,Automatic,First,121874.0
Honda,2006,117425,Diesel,Manual,First,100391.0
Tata,2020,171336,Petrol,Manual,Third,256207.0
Mahindra,2021,14827,Diesel,Manual,First,424772.0
Volkswagen,2010,21931,Diesel,Manual,First,188386.0
Honda,2009,179095,Petrol,Manual,First,149254.0
Tata,2010,164635,CNG,Automatic,Second,116594.0
Ford,2008,99192,Diesel,Manual,First,183837.0
Hyundai,2023,107480,Petrol,Manual,First,491355.0
Tata,2020,5000,Petrol,Manual,First,433321.0
Tata,2005,174738,Petrol,Manual,First,96456.0
Ford,2008,24087,CNG,Manual,Second,98650.0
Honda,2009,50917,Petrol,Manual,Second,197966.0
Mahindra,2014,48423,Diesel,Manual,First,370242.0
Maruti,2014,119624,Petrol,Manual,Second,262980.0
Mahindra,2024,69776,Diesel,Manual,Second,491189.0
Toyota,2010,151334,Petrol,Manual,First,269455.0
Hyundai,2006,40805,Petrol,Manual,Second,61035.0
Renault,2020,119199,Petrol,Automatic,First,416362.0
Kia,2007,168928,CNG,Manual,Second,96505.0
Tata,2019,136855,Petrol,Manual,First,384699.0
Toyota,2005,14039,Diesel,Automatic,First,207124.0
Hyundai,2006,52449,Petrol,Automatic,Second,82780.0
Renault,2014,66425,CNG,Manual,Third,121790.0
Volkswagen,2007,78936,Petrol,Manual,First,125138.0
Tata,2016,108035,Diesel,Manual,First,295875.0
Ford,2009,86270,Diesel,Manual,Second,100350.0
Mahindra,2009,178594,Diesel,Manual,Second,153206.0
Maruti,2023,144781,Diesel,Automatic,First,528625.0
Volkswagen,2018,73862,Petrol,Automatic,First,319382.0
Volkswagen,2015,23539,Diesel,Manual,First,373731.0
Tata,2009,37058,Diesel,Automatic,First,150561.0
Toyota,2012,86772,Petrol,Manual,First,276469.0
Mahindra,2017,44645,Petrol,Automatic,Second,312754.0
Mahindra,2018,145100,Petrol,Manual,First,402926.0
Honda,2022,68023,Diesel,Manual,First,481714.0
Maruti,2012,71728,CNG,Automatic,First,285307.0
Maruti,2022,100041,Petrol,Automatic,Second,449589.0
Volkswagen,2005,72876,Diesel,Manual,Second,89092.0
Hyundai,2021,66666,Diesel,Automatic,First,424243.0
Kia,2005,155598,Petrol,Automatic,First,54940.0
Mahindra,2009,95455,Diesel,Manual,First,163296.0
Renault,2010,134642,Petrol,Manual,Second,86218.0
Honda,2020,128823,Diesel,Manual,First,465759.0
Maruti,2020,36766,Diesel,Manual,First,464125.0
Hyundai,2015,98373,Diesel,Manual,Second,221527.0
Volkswagen,2020,37665,Petrol,Manual,Second,338165.0
Maruti,2014,23961,Diesel,Automatic,Second,314735.0
Mahindra,2015,122976,Diesel,Automatic,First,289726.0
Maruti,2015,9692,CNG,Manual,Second,285909.0
Honda,2021,178425,Diesel,Automatic,First,472287.0
Toyota,2008,110398,Diesel,Manual,First,222340.0
Volkswagen,2014,25465,Diesel,Manual,First,314139.0
Ford,2007,46785,Petrol,Automatic,First,175473.0
Tata,2019,18149,CNG,Automatic,First,422295.0
Toyota,2019,153795,Diesel,Automatic,Third,438508.0
